"state_name","state_abbrv","year","population","category","unemp_rate","crime_rate","murder_rate","rape_rate","robbery_rate","assault_rate"
"Colorado","CO",1977,2619000,"1M-5M populations",6.4,511.9,6.3,42.0,170.7,292.9
"Connecticut","CT",1977,3108000,"1M-5M populations",7.0,282.3,4.2,16.8,129.5,131.8
"Delaware","DE",1977,582000,"1M- populations",8.5,382.1,6.0,24.9,157.0,194.2
"District of Columbia","DC",1977,690000,"1M- populations",9.2,1426.5,27.8,58.3,964.5,375.9
"Florida","FL",1977,8452000,"5M+ populations",8.2,686.8,10.2,39.6,187.9,449.1
"Georgia","GA",1977,5048000,"5M+ populations",6.9,439.8,11.7,31.1,140.5,256.5
"Hawaii","HI",1977,895000,"1M- populations",7.9,224.8,7.2,25.5,128.0,64.1
"Idaho","ID",1977,857000,"1M- populations",5.8,236.9,5.5,19.4,39.6,172.5
"Illinois","IL",1977,11245000,"10M + populations",6.2,630.6,9.9,26.1,280.3,314.3
"Indiana","IN",1977,5330000,"5M+ populations",5.8,310.6,7.4,26.5,123.2,153.5
"Iowa","IA",1977,2879000,"1M-5M populations",3.9,144.0,2.3,10.6,41.2,89.8
"Kansas","KS",1977,2326000,"1M-5M populations",3.9,309.8,6.6,22.0,100.7,180.5
"Kentucky","KY",1977,3458000,"1M-5M populations",4.8,233.6,10.1,19.1,81.1,123.3
"Louisiana","LA",1977,3921000,"1M-5M populations",7.1,524.8,15.5,30.9,142.9,335.5
"Maine","ME",1977,1085000,"1M-5M populations",8.3,224.7,2.4,13.5,38.7,170.0
"Maryland","MD",1977,4139000,"1M-5M populations",6.3,693.8,8.0,34.8,292.1,358.9
"Massachusetts","MA",1977,5782000,"5M+ populations",7.8,425.3,3.1,20.8,169.9,231.6
"Michigan","MI",1977,9129000,"5M+ populations",8.2,584.7,9.3,38.9,261.9,274.6
"Minnesota","MN",1977,3975000,"1M-5M populations",5.3,193.8,2.7,19.5,85.9,85.8
"Mississippi","MS",1977,2389000,"1M-5M populations",7.3,288.7,14.3,19.6,65.7,189.1
"Missouri","MO",1977,4801000,"1M-5M populations",6.0,460.4,9.6,28.3,189.0,233.5
"Montana","MT",1977,761000,"1M- populations",6.3,218.0,5.4,16.7,39.2,156.8
"Nebraska","NE",1977,1561000,"1M-5M populations",3.4,199.4,3.9,18.1,64.7,112.7
"Nevada","NV",1977,633000,"1M- populations",6.7,743.0,15.8,49.1,323.1,355.0
"New Hampshire","NH",1977,849000,"1M- populations",5.4,113.1,3.2,10.7,23.2,76.0
"New Jersey","NJ",1977,7329000,"5M+ populations",9.4,392.0,5.6,21.0,180.4,185.1
"New Mexico","NM",1977,1190000,"1M-5M populations",7.6,500.9,8.8,39.1,109.6,343.4
"New York","NY",1977,17924000,"10M + populations",9.1,831.8,10.7,29.4,472.6,319.1
"North Carolina","NC",1977,5525000,"5M+ populations",5.9,407.1,10.6,17.0,61.3,318.3
"North Dakota","ND",1977,653000,"1M- populations",4.5,67.1,0.9,9.0,13.3,43.8
"Ohio","OH",1977,10701000,"10M + populations",6.5,406.7,7.8,27.3,190.5,181.1
"Oklahoma","OK",1977,2811000,"1M-5M populations",4.9,316.6,8.6,29.2,73.8,205.0
"Oregon","OR",1977,2376000,"1M-5M populations",7.4,455.8,4.9,39.9,124.1,286.9
"Pennsylvania","PA",1977,11785000,"10M + populations",7.7,282.8,5.6,19.0,130.3,128.0
"Rhode Island","RI",1977,935000,"1M- populations",8.0,301.6,3.6,10.5,86.5,201.0
"South Carolina","SC",1977,2876000,"1M-5M populations",6.9,636.2,11.9,33.0,105.9,485.3
"South Dakota","SD",1977,689000,"1M- populations",3.3,189.1,2.0,13.5,17.9,155.7
"Tennessee","TN",1977,4299000,"1M-5M populations",6.2,389.5,10.1,29.7,145.8,203.9
"Texas","TX",1977,12830000,"10M + populations",5.3,407.7,13.3,33.8,152.4,208.2
"Utah","UT",1977,1268000,"1M-5M populations",5.1,240.0,3.5,20.3,68.8,147.3
"Vermont","VT",1977,483000,"1M- populations",7.0,149.5,1.4,15.9,30.8,101.2
"Virginia","VA",1977,5135000,"5M+ populations",5.5,290.0,9.0,23.3,92.1,165.7
"Washington","WA",1977,3658000,"1M-5M populations",8.5,374.9,4.3,39.6,106.2,224.8
"West Virginia","WV",1977,1859000,"1M-5M populations",6.9,152.3,6.0,13.2,42.2,90.9
"Wisconsin","WI",1977,4651000,"1M-5M populations",5.1,131.5,2.8,12.9,52.2,63.7
