State,Year,Population,Violent Crime rate,Murder and nonnegligent manslaughter rate,Rape rate,Robbery rate,Aggravated assault rate
Kansas,1971,2258000,214.5,5.1,15.9,65.7,127.8
Kentucky,1971,3282000,235.1,10.9,14.9,77.4,131.9
Louisiana,1971,3681000,413.1,11.1,23.7,135.1,243.2
Maine,1971,1003000,90,2,7.4,14.4,66.3
Maryland,1971,4000000,621.4,11.2,24.9,325.4,259.9
Massachusetts,1971,5758000,266,3.8,12.4,140.1,109.6
Michigan,1971,8997000,574.6,10.5,26.7,330.1,207.3
Minnesota,1971,3881000,154.4,2.4,12.1,77,62.9
Mississippi,1971,2226000,276.3,14.7,13.7,35.9,212
Missouri,1971,4749000,386.5,8.9,26.2,179.7,171.7
Montana,1971,708000,137.1,4.4,14.1,28.7,90
Nebraska,1971,1512000,155.8,2.6,14,36,103.2
Nevada,1971,507000,372.2,11.4,26.6,171.2,162.9
New Hampshire,1971,762000,76.1,2.2,8.3,16.1,49.5
New Jersey,1971,7300000,362.2,5.8,14.5,220,121.8
New York,1971,18391000,788.7,9.9,17.5,531.1,230.1
North Carolina,1971,5146000,387.7,11.8,14.8,55.3,305.8
North Dakota,1971,625000,38.1,1.3,4.2,7.5,25.1
Ohio,1971,10778000,298.4,7.5,18.4,163.7,108.7
Oklahoma,1971,2610000,257.4,6.5,16.6,60.3,174
Oregon,1971,2158000,293.6,3.2,22.2,110.4,157.7
Pennsylvania,1971,11879000,268.7,6.2,13.9,141.9,106.7
Rhode Island,1971,960000,221.8,3,5.6,84.9,128.2
South Carolina,1971,2627000,311.7,16.6,18.2,62.4,214.5
South Dakota,1971,670000,96.1,1.2,9.9,18.2,66.9
Tennessee,1971,3990000,313.8,12.4,18.1,86.5,196.8
Texas,1971,11460000,376,12.1,23.6,124.1,216.3
Utah,1971,1099000,153.7,2.7,14.6,60.5,75.8
Vermont,1971,458000,72.7,1.1,11.4,9.8,50.4
Virginia,1971,4714000,326.3,10.1,21.3,106.8,188.2
Washington,1971,3449000,236.4,3.8,17.7,93.3,121.6
West Virginia,1971,1752000,131.9,6.4,5,35.4,85.1
Wisconsin,1971,4476000,88.4,2.8,7.6,31.5,46.4
Wyoming,1971,340000,156.5,5.3,13.8,20,117.4
Alaska,1972,325000,370.5,9.5,41.8,66.5,252.6
New Mexico,1972,1065000,431.7,11.5,33.7,121.6,265
Alabama,1972,3510000,313.2,14.1,18.8,68.6,211.7
Arizona,1972,1945000,448.9,7.3,33.4,120.8,287.4
Arkansas,1972,1978000,244.7,10.4,17.3,54.8,162.2
California,1972,20468000,540.7,8.8,39.7,238.6,253.7
Colorado,1972,2357000,405.4,8.3,38.4,141.4,217.3
Connecticut,1972,3082000,199.2,3.2,8.9,79.1,107.9
Delaware,1972,565000,386,6.9,14.2,130.1,234.9
District of Columbia,1972,748000,1685.4,32.8,95.5,1036.2,521
Florida,1972,7259000,554.5,12.7,26.4,189.4,326
Georgia,1972,4720000,377.6,18.5,20.8,134.3,204
Hawaii,1972,809000,155.5,6.8,21.3,55.4,72.1
Idaho,1972,756000,143.5,3.8,15.6,20.6,103.4
Illinois,1972,11251000,508.1,8.8,23.3,260.1,215.9
Indiana,1972,5291000,245.1,6.1,22.5,111.1,105.4
Iowa,1972,2883000,87.4,1.7,8.6,26.7,50.3
Kansas,1972,2258000,209.8,4,17.8,68.9,119.1
Kentucky,1972,3299000,225.7,9.8,15.7,83.2,117.1
Louisiana,1972,3720000,422.4,13.2,23,133.4,252.8
Maine,1972,1029000,111.1,5.3,7.8,21.1,76.9
Maryland,1972,4056000,651.2,12.5,26,324.1,288.6
Massachusetts,1972,5787000,295.2,3.7,13.5,152.8,125.2
Michigan,1972,9082000,555.2,11,29.3,289.3,225.6
Minnesota,1972,3896000,174.5,2.4,14.7,84.4,72.9
Mississippi,1972,2263000,312.7,15.4,17.5,39.9,240
Missouri,1972,4753000,383.4,8.3,25.5,175.6,174
Montana,1972,719000,150.1,2.5,10.8,33.2,103.5
Nebraska,1972,1525000,173,2.9,13.9,52.7,103.5
Nevada,1972,527000,429.6,13.5,34,190.1,192
New Hampshire,1972,771000,63.7,1.7,7,13.4,41.6
New Jersey,1972,7367000,374.3,6.5,16.9,210.1,140.8
New York,1972,18366000,754.3,11,22.9,470.4,250.1
North Carolina,1972,5214000,423.6,13.5,14.6,66.2,329.3
North Dakota,1972,632000,45.9,1.3,4.9,8.9,30.9
Ohio,1972,10783000,299.4,7.5,19.9,160.6,111.4
Oklahoma,1972,2634000,238.8,7,19,64.6,148.1
Oregon,1972,2182000,297.6,5.5,26.3,109.5,156.3
Pennsylvania,1972,11926000,277.1,6,16,149.3,105.8
Rhode Island,1972,968000,250.4,1.3,8.3,81.7,159.1
South Carolina,1972,2665000,386.9,16.8,22.5,66.1,281.6
South Dakota,1972,679000,111.3,1.2,11.3,15.6,83.2
Tennessee,1972,4031000,319,11.3,19.9,101.1,186.7
Texas,1972,11649000,354.4,12.4,23.5,120.3,198.2
Utah,1972,1126000,183.2,2.9,18.3,62.3,99.7
Vermont,1972,462000,96.3,1.7,10.8,10.6,73.2
Virginia,1972,4764000,346,11.8,21.7,113.5,199
Washington,1972,3443000,250.6,4.2,21.8,87.6,137
West Virginia,1972,1781000,129.1,6.1,8.2,31.6,83.2
Wisconsin,1972,4520000,96.4,2.8,8.3,36.7,48.6
Wyoming,1972,345000,148.1,4.1,13.9,33.9,96.2
Alaska,1973,330000,384.5,10,44.5,67,263
New Mexico,1973,1106000,471.9,11.8,33.1,128.8,298.3
Alabama,1973,3539000,350.1,13.2,21.2,79.4,236.3
Arizona,1973,2058000,479.9,8.1,31,147.3,293.6
Arkansas,1973,2037000,289.9,8.8,19.5,71.5,190
California,1973,20601000,565.8,9,40.6,240.4,275.8
Colorado,1973,2437000,414,7.9,38.7,162.9,204.4
Connecticut,1973,3076000,208.7,3.3,11.1,84.2,110.1
Delaware,1973,576000,350,5.9,15.8,90.3,238
District of Columbia,1973,746000,1558.4,35.9,79.9,961.3,481.4
Florida,1973,7678000,604.6,15.4,31.9,222.3,335
Georgia,1973,4786000,412.4,17.4,25.8,158.1,211.1
Hawaii,1973,832000,155.6,5.3,20.2,83.7,46.5
Idaho,1973,770000,164.2,2.6,14.2,26.9,120.5
Illinois,1973,11236000,555.9,10.4,24,272.8,248.7
Indiana,1973,5316000,257.6,7.3,23.3,108.8,118.2
Iowa,1973,2904000,102.3,2.2,11.3,32.9,55.9
Kansas,1973,2279000,217.5,6,18,78.1,115.3
Kentucky,1973,3342000,220.1,9.7,16.3,85.1,109.1
Louisiana,1973,3764000,425.6,15.4,22.2,138.6,249.3
Maine,1973,1028000,122.4,2.1,7.8,20.7,91.7
Maryland,1973,4070000,641.1,11.3,27.8,301.6,300.4
Massachusetts,1973,5818000,351.9,4.4,16.3,182,149.3
Michigan,1973,9044000,585.2,12.1,35.1,282.7,255.2
Minnesota,1973,3897000,177.7,2.7,14.9,88.7,71.5
Mississippi,1973,2281000,339.1,16.1,17.1,46.8,259.1
Missouri,1973,4757000,408.7,9,28.2,193.4,178.1
Montana,1973,721000,167.4,6,16.4,36.3,108.7
Nebraska,1973,1542000,185.4,4.3,16.5,62.5,102.1
Nevada,1973,548000,572.1,12.2,46,262,251.8
New Hampshire,1973,791000,82,2.1,9.5,13.3,57.1
New Jersey,1973,7361000,391.9,7.4,18.8,206.2,159.4
New York,1973,18265000,741.7,11.2,26.6,442.3,261.6
North Carolina,1973,5273000,437.8,13,16.1,71.4,337.4
North Dakota,1973,640000,60.8,0.8,7.3,7.3,45.3
Ohio,1973,10731000,291.7,7.3,21.4,143.5,119.5
Oklahoma,1973,2663000,246.2,6.6,20,68.2,151.4
Oregon,1973,2225000,292.7,4.9,29.3,99.4,159
Pennsylvania,1973,11902000,272.2,6.3,15.8,138.6,111.5
Rhode Island,1973,973000,282.5,3.4,8.3,97,173.8
South Carolina,1973,2726000,394.6,14.4,22.5,79.2,278.6
South Dakota,1973,685000,126.9,3.8,12.8,24.7,85.5
Tennessee,1973,4126000,358,13.2,26.9,130.5,187.5
Texas,1973,11794000,385.4,12.8,25.2,144.6,202.8
Utah,1973,1157000,208.5,3.2,22.9,62.6,119.8
Vermont,1973,464000,70.5,2.2,11.2,8.8,48.3
Virginia,1973,4811000,332.7,10.5,22.9,104.8,194.5
Washington,1973,3429000,271.5,4,26.2,96.3,145
West Virginia,1973,1794000,123.7,5.7,9.3,27.9,80.8
Wisconsin,1973,4569000,115.4,2.6,10.8,48.7,53.3
Wyoming,1973,353000,216.1,6.8,15.6,32.9,160.9
Alaska,1974,337000,453.1,13.6,49.3,88.4,301.8
New Mexico,1974,1122000,450.4,11.3,34.8,124.6,279.6
Alabama,1974,3577000,372.9,15,22.7,99.6,235.6
Arizona,1974,2153000,566.7,9.6,37.5,204.2,315.5
Arkansas,1974,2062000,316.2,11.2,23.9,80.7,200.5
California,1974,20907000,610.6,9.5,40.6,252.7,307.8
Colorado,1974,2496000,429.8,6,36.5,165.7,221.6
Connecticut,1974,3088000,228.1,3.3,11.2,92.3,121.4
Delaware,1974,573000,443.1,10.3,17.3,127.9,287.6
District of Columbia,1974,723000,1603,38.3,77.6,1098.3,388.8
Florida,1974,8090000,677.6,14.7,36,275.2,351.8
Georgia,1974,4882000,442.2,17.8,27.1,176.5,220.8
Hawaii,1974,847000,208,8.3,26.1,121.6,52.1
Idaho,1974,799000,183.4,5.6,16,37.9,123.8
Illinois,1974,11131000,627.1,11.8,27.7,313.4,274.2
Indiana,1974,5330000,293.3,8,23.5,134.4,127.3
Iowa,1974,2855000,121,1.9,10.1,48.7,60.4
Kansas,1974,2270000,276.3,6.9,19.7,107.8,141.9
Kentucky,1974,3357000,234,10.3,17.6,92.3,113.7
Louisiana,1974,3764000,472.7,16,25.2,156.3,275.1
Maine,1974,1047000,137.5,2.9,8.7,27.9,98.1
Maryland,1974,4094000,719.1,11.7,29.8,360.6,316.9
Massachusetts,1974,5800000,388.7,4.4,15.6,212.4,156.3
Michigan,1974,9098000,659.4,13,37.1,337.2,272
Minnesota,1974,3917000,207.3,3,17.7,104.1,82.5
Mississippi,1974,2324000,334.9,12.9,17.4,48,256.5
Missouri,1974,4777000,452.4,9.8,26.9,216.7,199
Montana,1974,735000,162.4,4.2,12.2,35.6,110.3
Nebraska,1974,1543000,239.6,3.6,18.9,91,126.2
Nevada,1974,573000,682.4,14.8,45.2,277.8,344.5
New Hampshire,1974,808000,91.5,3.5,8.4,25.9,53.7
New Jersey,1974,7330000,403.4,6.8,19.7,216.6,160.3
New York,1974,18111000,803,10.6,28.9,479.3,284.1
North Carolina,1974,5363000,488.9,11.7,15.5,92.3,369.4
North Dakota,1974,637000,50.1,1.4,7.8,12.9,27.9
Ohio,1974,10737000,364.1,8.9,23.9,191.2,140.2
Oklahoma,1974,2709000,280.1,8.1,25,83.5,163.5
Oregon,1974,2266000,367.4,5.6,32.3,130.8,198.7
Pennsylvania,1974,11835000,315,6.7,17.8,159.5,131
Rhode Island,1974,937000,282.9,3.8,7.4,91,180.7
South Carolina,1974,2784000,455.7,16.2,26.2,127.4,285.9
South Dakota,1974,682000,180.9,2.1,10.7,20.4,147.8
Tennessee,1974,4129000,386.8,13.4,25.7,157.2,190.4
Texas,1974,12050000,390.1,13.7,28.9,164,183.5
Utah,1974,1173000,214.6,3.2,22.3,75.8,113.4
Vermont,1974,470000,75.1,3.4,12.3,13.8,45.5
Virginia,1974,4908000,356.8,10.6,25.9,127.4,193
Washington,1974,3476000,346.3,5.1,29,115.5,196.6
West Virginia,1974,1791000,137.4,6,10,35.2,86.1
Wisconsin,1974,4566000,140.4,3,11.3,66.3,59.9
Wyoming,1974,359000,144.6,5,15.3,42.6,81.6
Alaska,1975,352000,539.8,12.2,44.6,129.5,353.4
New Mexico,1975,1147000,534.8,13.3,41,126.7,353.8
Alabama,1975,3614000,392.9,16,20.4,123,233.5
Arizona,1975,2224000,547.8,8.6,35.5,170,333.8
Arkansas,1975,2116000,348.3,10.1,25.9,87.6,224.7
California,1975,21185000,655.4,10.4,41.6,282.4,321
Colorado,1975,2534000,463.1,7.4,41.5,174.1,240.1
Connecticut,1975,3095000,268.4,3.9,12.4,131.5,120.6
Delaware,1975,579000,392.1,7.3,18.1,157.2,209.5
District of Columbia,1975,716000,1774.3,32.8,72.6,1276.1,392.7
Florida,1975,8357000,688.5,13.5,35.7,239.7,399.6
Georgia,1975,4926000,459,14.4,25.4,166.5,252.6
Hawaii,1975,865000,218.4,7.7,24.7,127.6,58.3
Idaho,1975,820000,203.7,5.2,16.1,42,140.4
Illinois,1975,11145000,670.2,10.6,25.7,325.8,308.1
Indiana,1975,5311000,332.8,8.5,24.3,156.8,143.3
Iowa,1975,2870000,140.7,2.5,10.3,53.5,74.4
Kansas,1975,2267000,278.2,5.4,17.2,92.8,162.8
Kentucky,1975,3396000,264,10.2,15.4,103.2,135.3
Louisiana,1975,3791000,478.4,12.6,23.7,153.1,289
Maine,1975,1059000,219.5,2.8,10.4,36.4,169.8
Maryland,1975,4098000,709.8,10.7,31.5,344.2,323.4
Massachusetts,1975,5828000,442.6,4.2,19.2,227,192.2
Michigan,1975,9157000,685.7,11.9,38.1,353.1,282.7
Minnesota,1975,3926000,207,3.3,18.6,103.6,81.4
Mississippi,1975,2346000,315.9,13.9,16.5,54.6,230.9
Missouri,1975,4763000,493.8,10.6,25.2,244.7,213.3
Montana,1975,748000,189.6,5.2,14.3,41.4,128.6
Nebraska,1975,1546000,257.8,4.3,19.2,90.4,143.9
Nevada,1975,592000,678.7,13,47.1,302.5,316
New Hampshire,1975,818000,99.8,2.9,8.7,28.9,59.3
New Jersey,1975,7316000,413,6.8,18.9,222.6,164.6
New York,1975,18120000,856.4,11,28.1,516,301.3
North Carolina,1975,5451000,436.5,12.4,16.2,82.2,325.6
North Dakota,1975,635000,53.1,0.8,5.8,14.3,32.1
Ohio,1975,10759000,408,8.1,25.3,220,154.6
Oklahoma,1975,2712000,303.3,9.4,27.2,90.2,176.5
Oregon,1975,2288000,438.5,6.2,32.6,130.3,269.4
Pennsylvania,1975,11827000,329.2,6.8,17.4,168.6,136.5
Rhode Island,1975,927000,302.3,3,10.9,95.9,192.4
South Carolina,1975,2818000,511.4,14.7,26.5,110.9,359.3
South Dakota,1975,683000,205.3,3.7,16.5,31,154
Tennessee,1975,4188000,397,11.4,26.1,166.8,192.6
Texas,1975,12237000,390.6,13.4,28,164.1,185.2
Utah,1975,1206000,231.8,2.7,20.9,79,129.2
Vermont,1975,471000,95.1,2.1,14.6,15.7,62.6
Virginia,1975,4967000,380.9,11.5,24,138.5,206.9
Washington,1975,3544000,390.8,5.7,32.7,124,228.4
West Virginia,1975,1803000,161.7,7.4,9.3,45.5,99.5
Wisconsin,1975,4607000,151.8,3.3,10.6,73.4,64.5
Wyoming,1975,374000,204.3,10.2,17.1,49.5,127.5
Alaska,1976,382000,540.1,11.3,46.9,124.9,357.1
New Mexico,1976,1168000,554.4,9.7,41,124.7,378.9
Alabama,1976,3665000,388.8,15.1,21.7,96,256
Arizona,1976,2270000,455.3,7.8,29.7,129.9,287.9
Arkansas,1976,2109000,303.9,10.1,24.2,76.7,192.9
California,1976,21520000,669.3,10.3,44.7,275.6,338.7
Colorado,1976,2583000,417,6.8,33.8,139.7,236.7
Connecticut,1976,3117000,273.2,3.1,14.4,122.9,132.8
Delaware,1976,582000,321.6,6.2,17.7,128.7,169.1
District of Columbia,1976,702000,1481.3,26.8,72.4,1003.4,378.8
Florida,1976,8421000,648.3,10.7,36.3,186.4,415
Georgia,1976,4970000,423.1,13.9,24.9,142.4,241.9
Hawaii,1976,887000,229.3,6.2,23.6,133,66.5
Idaho,1976,831000,226.7,5.3,18.7,40,162.8
Illinois,1976,11229000,625.8,10.3,24.6,287.1,303.7
Indiana,1976,5302000,315.4,7.1,23.2,128.8,156.3
Iowa,1976,2870000,132.9,2.3,10.7,41.1,78.7
Kansas,1976,2310000,282.6,4.5,21.9,85.8,170.4
Kentucky,1976,3428000,262.2,10.6,17.8,98.7,135.1
Louisiana,1976,3841000,472.8,13.2,26.8,124.3,308.5
Maine,1976,1070000,220,2.7,9.9,37.9,169.4
Maryland,1976,4144000,633.4,8.5,32,295.5,297.4
Massachusetts,1976,5809000,399.2,3.3,17.7,180.2,198
Michigan,1976,9104000,646,11.1,36.1,332.6,266.1
Minnesota,1976,3965000,189,2.3,18.3,80.4,87.9
Mississippi,1976,2354000,295.4,12.5,16.3,64.1,202.5
Missouri,1976,4778000,449.4,9.3,27.1,204.1,208.9
Montana,1976,753000,180.3,5,13.5,35.6,126.2
Nebraska,1976,1553000,210.5,2.9,20.5,63,124.1
Nevada,1976,610000,691,11.5,47.2,294.9,337.4
New Hampshire,1976,822000,86.3,3.3,9.7,24.8,48.4
New Jersey,1976,7336000,396.8,5.2,19.9,200.3,171.4
New York,1976,18084000,868.1,10.9,25.8,529.3,302.1
North Carolina,1976,5469000,403.4,11.1,15.3,70.6,306.4
North Dakota,1976,643000,71.9,1.4,5.6,16.2,48.7
Ohio,1976,10690000,388.7,7.4,25.8,183.8,171.7
Oklahoma,1976,2766000,286.6,6.4,27,70.3,182.8
Oregon,1976,2329000,457.4,4.2,35.6,132.7,285
Pennsylvania,1976,11862000,294.9,6.1,18.1,138,132.8
Rhode Island,1976,927000,299.8,2.4,8.5,91,197.8
South Carolina,1976,2848000,599.2,11.6,31.9,105.7,450
South Dakota,1976,686000,186.2,1.7,15.3,23.2,145.9
Tennessee,1976,4214000,393.3,11,25.4,147.5,209.4
Texas,1976,12487000,355.7,12.2,29.4,139,175.3
Utah,1976,1228000,220.6,4.5,20.9,69.4,125.8
Vermont,1976,476000,118.3,5.5,14.9,17.9,80
Virginia,1976,5032000,307.7,9.5,22.2,108.2,167.9
Washington,1976,3612000,388.6,4.3,34.3,119.5,230.5
West Virginia,1976,1821000,151.6,6.7,10.3,38,96.6
Wisconsin,1976,4609000,137.7,3,11.8,59.3,63.5
Wyoming,1976,390000,218.2,6.9,24.9,29.2,157.2
Alaska,1977,407000,443.2,10.8,51.6,96.8,284
New Mexico,1977,1190000,500.9,8.8,39.1,109.6,343.4
Alabama,1977,3690000,414.4,14.2,25.2,96.8,278.3
Arizona,1977,2296000,494.2,9.5,34.2,138.2,312.3
Arkansas,1977,2144000,322.9,8.8,27.6,83.2,203.4
California,1977,21896000,706,11.5,49.4,287,358
Colorado,1977,2619000,511.9,6.3,42,170.7,292.9
Connecticut,1977,3108000,282.3,4.2,16.8,129.5,131.8
Delaware,1977,582000,382.1,6,24.9,157,194.2
District of Columbia,1977,690000,1426.5,27.8,58.3,964.5,375.9
Florida,1977,8452000,686.8,10.2,39.6,187.9,449.1
Georgia,1977,5048000,439.8,11.7,31.1,140.5,256.5
Hawaii,1977,895000,224.8,7.2,25.5,128,64.1
Idaho,1977,857000,236.9,5.5,19.4,39.6,172.5
Illinois,1977,11245000,630.6,9.9,26.1,280.3,314.3
Indiana,1977,5330000,310.6,7.4,26.5,123.2,153.5
Iowa,1977,2879000,144,2.3,10.6,41.2,89.8
Kansas,1977,2326000,309.8,6.6,22,100.7,180.5
Kentucky,1977,3458000,233.6,10.1,19.1,81.1,123.3
Louisiana,1977,3921000,524.8,15.5,30.9,142.9,335.5
Maine,1977,1085000,224.7,2.4,13.5,38.7,170
Maryland,1977,4139000,693.8,8,34.8,292.1,358.9
Massachusetts,1977,5782000,425.3,3.1,20.8,169.9,231.6
Michigan,1977,9129000,584.7,9.3,38.9,261.9,274.6
Minnesota,1977,3975000,193.8,2.7,19.5,85.9,85.8
Mississippi,1977,2389000,288.7,14.3,19.6,65.7,189.1
Missouri,1977,4801000,460.4,9.6,28.3,189,233.5
Montana,1977,761000,218,5.4,16.7,39.2,156.8
Nebraska,1977,1561000,199.4,3.9,18.1,64.7,112.7
Nevada,1977,633000,743,15.8,49.1,323.1,355
New Hampshire,1977,849000,113.1,3.2,10.7,23.2,76
New Jersey,1977,7329000,392,5.6,21,180.4,185.1
New York,1977,17924000,831.8,10.7,29.4,472.6,319.1
North Carolina,1977,5525000,407.1,10.6,17,61.3,318.3
North Dakota,1977,653000,67.1,0.9,9,13.3,43.8
Ohio,1977,10701000,406.7,7.8,27.3,190.5,181.1
Oklahoma,1977,2811000,316.6,8.6,29.2,73.8,205
Oregon,1977,2376000,455.8,4.9,39.9,124.1,286.9
Pennsylvania,1977,11785000,282.8,5.6,19,130.3,128
Rhode Island,1977,935000,301.6,3.6,10.5,86.5,201
South Carolina,1977,2876000,636.2,11.9,33,105.9,485.3
South Dakota,1977,689000,189.1,2,13.5,17.9,155.7
Tennessee,1977,4299000,389.5,10.1,29.7,145.8,203.9
Texas,1977,12830000,407.7,13.3,33.8,152.4,208.2
Utah,1977,1268000,240,3.5,20.3,68.8,147.3
Vermont,1977,483000,149.5,1.4,15.9,30.8,101.2
Virginia,1977,5135000,290,9,23.3,92.1,165.7
Washington,1977,3658000,374.9,4.3,39.6,106.2,224.8
West Virginia,1977,1859000,152.3,6,13.2,42.2,90.9
Wisconsin,1977,4651000,131.5,2.8,12.9,52.2,63.7
Wyoming,1977,406000,240.9,5.4,21.9,39.7,173.9
Alaska,1978,403000,441.9,12.9,55.6,91.3,282.1
New Mexico,1978,1212000,528.2,10.2,42.7,111.6,363.8
Alabama,1978,3742000,419.1,13.3,25.5,99.1,281.2
Arizona,1978,2354000,552.1,9.4,44.2,162.9,335.6
Arkansas,1978,2186000,344.1,9.1,23.1,80,231.9
California,1978,22294000,742.9,11.7,50.8,306.1,374.4
Colorado,1978,2670000,498,7.3,49.6,159.2,281.9
Connecticut,1978,3099000,315,4.2,17.2,154.8,138.8
Delaware,1978,583000,440.7,6.7,20.4,145.5,268.1
District of Columbia,1978,674000,1411.7,28,66.3,939.6,377.7
Florida,1978,8594000,765.6,11,46.1,206,502.5
Georgia,1978,5084000,482.8,14.4,37.9,166.3,264.2
Hawaii,1978,897000,270.1,6.7,25.9,173.6,64
Idaho,1978,878000,236.4,5.4,19.2,40,171.9
Illinois,1978,11243000,676.7,9.9,28,292.9,345.9
Indiana,1978,5374000,323.5,6.2,27,121.4,168.8
Iowa,1978,2896000,161.4,2.6,10.4,46.9,101.6
Kansas,1978,2348000,318.2,5.7,25,93.7,193.8
Kentucky,1978,3498000,223.2,9,20.7,81.3,112.1
Louisiana,1978,3966000,584.9,15.8,34.8,173.7,360.7
Maine,1978,1091000,207.7,2.7,11.1,32.9,161
Maryland,1978,4143000,732,8.2,35.6,309.6,378.6
Massachusetts,1978,5774000,462,3.7,22.6,172.3,263.3
Michigan,1978,9189000,577.2,10.6,39.6,219.3,307.7
Minnesota,1978,4008000,189.6,2,19.9,85.1,82.6
Mississippi,1978,2404000,321.2,12.6,21.8,70.2,216.6
Missouri,1978,4860000,467.9,10.4,28,184,245.5
Montana,1978,785000,237.6,4.8,15.8,36.8,180.1
Nebraska,1978,1565000,190.5,3,18.3,64.9,104.4
Nevada,1978,660000,780.8,15.5,53.9,359.5,351.8
New Hampshire,1978,871000,118.8,1.4,9.4,26.3,81.7
New Jersey,1978,7327000,423.5,5.4,23.6,192.6,201.9
New York,1978,17748000,841,10.3,29.1,472.1,329.5
North Carolina,1978,5577000,413.4,10.8,18.4,65.9,318.4
North Dakota,1978,652000,67,1.2,8.9,15.6,41.3
Ohio,1978,10749000,412.7,6.9,27.4,182.6,195.8
Oklahoma,1978,2880000,353,8.5,31,88.3,225.2
Oregon,1978,2444000,502.4,5,41.2,131.1,325
Pennsylvania,1978,11750000,301.1,6.2,18.7,136.7,139.5
Rhode Island,1978,935000,348.1,4,11,98.2,235
South Carolina,1978,2918000,637.6,11.5,35.4,101.3,489.4
South Dakota,1978,690000,163.5,1.9,10.9,15.9,134.8
Tennessee,1978,4357000,382.6,9.4,30.6,152.4,190.2
Texas,1978,13014000,435.3,14.2,37.9,164.4,218.8
Utah,1978,1307000,271.8,3.7,22.9,66.5,178.7
Vermont,1978,487000,166.3,3.3,14.6,14.4,134.1
Virginia,1978,5148000,286.4,8.8,22.7,97.1,157.8
Washington,1978,3774000,405.3,4.6,41.2,125,234.4
West Virginia,1978,1860000,167.7,6.8,14.7,46.3,99.9
Wisconsin,1978,4679000,132.2,2.5,14.5,49.9,65.2
Wyoming,1978,424000,280.4,7.1,23.6,48.1,201.7
Alaska,1979,406000,491.1,13.3,71.9,109.6,296.3
New Mexico,1979,1241000,586,12.4,46.9,121,405.6
Alabama,1979,3769000,413.3,13.2,27.5,109.5,263.1
Arizona,1979,2450000,593,8.9,45.7,175.7,362.6
Arkansas,1979,2180000,366.2,9.1,27.3,74.6,255.3
California,1979,22696000,811.1,13,53.9,333.8,410.3
Colorado,1979,2772000,522.1,5.8,53.1,157,306.1
Connecticut,1979,3115000,414.2,4.2,24.1,193.3,192.6
Delaware,1979,582000,537.3,5.7,27.8,129.4,374.4
District of Columbia,1979,656000,1608.7,27.4,74.5,1054.9,451.8
Florida,1979,8860000,833.9,12.2,51.6,249.4,520.6
Georgia,1979,5118000,558.7,17.1,43.3,213.7,284.5
Hawaii,1979,915000,289.7,7.2,32.3,184.5,65.7
Idaho,1979,905000,288.7,5.4,20.6,43.3,219.4
Illinois,1979,11230000,743.9,10.7,33,321.1,379.2
Indiana,1979,5400000,338,8.3,31.1,132.7,165.9
Iowa,1979,2903000,181.2,2.2,11,50.2,117.7
Kansas,1979,2369000,353.6,5.5,26.4,102.3,219.4
Kentucky,1979,3527000,248,9.5,20.4,92.1,126.1
Louisiana,1979,4026000,676.3,16.9,38.6,219.4,401.4
Maine,1979,1097000,202.5,2.8,11.9,31.8,155.9
Maryland,1979,4149000,795.5,9.8,39.4,331.2,415.2
Massachusetts,1979,5769000,531.3,3.7,24.8,203.2,299.6
Michigan,1979,9208000,614.2,9.1,44.5,219.6,341.1
Minnesota,1979,4060000,221,2.3,21.5,92.5,104.8
Mississippi,1979,2406000,323.6,12.6,21.7,70.7,218.6
Missouri,1979,4868000,527.2,11.2,33.6,210.9,271.4
Montana,1979,786000,224.2,4.2,20.6,33.1,166.3
Nebraska,1979,1574000,225.9,4.1,21.5,73.5,126.8
Nevada,1979,702000,835.6,17.5,59.5,407.5,351
New Hampshire,1979,887000,139.9,2.4,17.1,28.6,91.8
New Jersey,1979,7332000,501.2,6.6,27.8,250,216.8
New York,1979,17649000,917.4,11.9,30.6,529.6,345.3
North Carolina,1979,5606000,446.1,10.7,20.3,77.2,337.9
North Dakota,1979,657000,61.3,1.5,8.2,9.9,41.7
Ohio,1979,10731000,457.5,8.1,31.8,194.8,222.8
Oklahoma,1979,2892000,405.2,9.7,33,102.6,260
Oregon,1979,2527000,545.4,4.2,44.4,130.6,366.2
Pennsylvania,1979,11731000,333.6,6.2,21.6,152.2,153.6
Rhode Island,1979,929000,375.1,3.2,15.2,109.7,247
South Carolina,1979,2932000,678.3,12.6,34.3,107.6,523.8
South Dakota,1979,689000,159.1,2,16.4,20.3,120.3
Tennessee,1979,4380000,414,9.8,34.5,166.1,203.6
Texas,1979,13385000,507.9,16.7,45.1,191.8,254.3
Utah,1979,1367000,304.2,4.8,27.9,77.7,193.8
Vermont,1979,493000,184.2,1.4,22.9,28.6,131.2
Virginia,1979,5197000,301,8.6,27.1,111.6,153.7
Washington,1979,3926000,434.6,4.8,46.4,120.7,262.8
West Virginia,1979,1878000,168.1,6.8,15.5,43.9,101.8
Wisconsin,1979,4720000,166.1,3.4,16.1,60.5,86.1
Wyoming,1979,450000,350.9,9.1,27.6,42.2,272
Alaska,1980,440142,436,8.9,56.8,81.8,288.5
New Mexico,1980,1295474,615,13.1,43.3,127.9,430.7
Alabama,1980,3861466,448.5,13.2,30,132.1,273.2
Arizona,1980,2715357,650.9,10.3,45.2,193.6,401.8
